study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJEB3366	SAMEA1573446	ERX163159	ERR188021	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188021/ERR188021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188021/ERR188021_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188021/NA20508.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188021/NA20508.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188021	NA20508
PRJEB3366	SAMEA1573207	ERX162912	ERR188022	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188022/ERR188022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188022/ERR188022_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188022/NA12812.1.M_111124_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188022/NA12812.1.M_111124_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188022	NA12812
PRJEB3366	SAMEA1573500	ERX162777	ERR188023	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188023/ERR188023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188023/ERR188023_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188023/HG00315.2.M_111215_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188023/HG00315.2.M_111215_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188023	HG00315
PRJEB3366	SAMEA1573203	ERX162876	ERR188024	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188024/ERR188024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188024/ERR188024_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188024/NA12749.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188024/NA12749.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188024	NA12749
PRJEB3366	SAMEA1573346	ERX163121	ERR188025	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188025/ERR188025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188025/ERR188025_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188025/HG00377.2.M_120131_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188025/HG00377.2.M_120131_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188025	HG00377
PRJEB3366	SAMEA1573212	ERX162823	ERR188026	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188026/ERR188026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188026/ERR188026_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188026/NA20510.3.M_120202_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188026/NA20510.3.M_120202_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188026	NA20510
PRJEB3366	SAMEA1573516	ERX162976	ERR188027	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188027/ERR188027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188027/ERR188027_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188027/NA07056.1.M_111124_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188027/NA07056.1.M_111124_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188027	NA07056
PRJEB3366	SAMEA1573404	ERX163149	ERR188028	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188028/HG00155.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188028/HG00155.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188028	HG00155
PRJEB3366	SAMEA1573527	ERX162809	ERR188029	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188029/ERR188029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188029/ERR188029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188029/HG00355.2.M_111215_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188029/HG00355.2.M_111215_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188029	HG00355
PRJEB3366	SAMEA1573339	ERX162997	ERR188030	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188030/ERR188030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188030/ERR188030_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188030/NA19119.3.M_120202_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188030/NA19119.3.M_120202_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188030	NA19119
